catégorie,nom,description,durée_min,difficulté,participants_min,micro_protocole
collaborative,Brainstorming Classique,Génération libre d'idées sans jugement. Quantité avant qualité.,15,facile,1,"Tour de table virtuel : on génère chacun 3 idées à tour de rôle, sans filtre ni critique."
collaborative,Brainwriting 6-3-5,6 personnes écrivent 3 idées en 5 minutes puis passent la feuille.,30,facile,2,"On écrit 3 idées en silence pendant 2 minutes, puis on échange et on rebondit sur les idées de l'autre."
collaborative,Round Robin,Chacun propose une idée à tour de rôle sans interruption.,20,facile,2,"Une idée chacun, à tour de rôle. Pas de commentaire, pas de jugement. On enchaîne."
collaborative,Méthode des Post-it,Idées individuelles sur post-it puis regroupement collectif.,25,facile,1,"Note chaque idée en une phrase courte. On regroupe ensuite par affinité pour voir les patterns."
collaborative,Speed Storming,Sessions de 3 min en binômes rotatifs pour générer des idées.,20,moyen,2,"3 minutes chrono par angle d'attaque. On change de perspective à chaque round."
créative,SCAMPER,Substituer Combiner Adapter Modifier Proposer Éliminer Réorganiser.,30,moyen,1,"On applique les 7 leviers SCAMPER un par un au sujet : Substituer quoi ? Combiner avec quoi ? etc."
créative,Mind Mapping,Carte mentale partant du sujet central vers les ramifications.,25,facile,1,"On place le sujet au centre et on tire des branches : chaque branche = un angle, chaque feuille = une idée."
créative,Analogie Forcée,Appliquer les principes d'un domaine totalement différent au problème.,20,moyen,1,"On force une analogie entre ton sujet et un domaine aléatoire. Ex : 'Et si ton produit était un restaurant ?'"
créative,Mots Aléatoires,Utiliser des mots tirés au hasard comme tremplin créatif.,15,facile,1,"Je tire un mot au hasard. Tu dois connecter ce mot à ton sujet en 30 secondes. Go !"
créative,Collage Conceptuel,Assembler des images et concepts visuels pour inspirer des solutions.,30,moyen,1,"On décrit 3 images mentales liées au sujet, puis on cherche les idées cachées dans chaque image."
profonde,Les 5 Pourquoi,Remonter à la racine du problème en demandant pourquoi 5 fois.,15,facile,1,"On creuse : Pourquoi ce problème ? Et pourquoi ça ? Et pourquoi ? 5 niveaux pour trouver la racine."
profonde,Analyse Morphologique,Décomposer le problème en dimensions et combiner les options.,45,difficile,1,"On découpe le sujet en 3-4 dimensions, on liste 3 options par dimension, puis on combine pour créer des solutions."
profonde,Arbre de Pertinence,Hiérarchiser les sous-problèmes pour identifier les leviers clés.,30,moyen,1,"On dessine l'arbre du problème : racine = objectif, branches = sous-problèmes, feuilles = solutions possibles."
profonde,Matrice de Découverte,Croiser deux listes de paramètres pour révéler des combinaisons inédites.,35,moyen,1,"On crée une grille : en lignes les besoins, en colonnes les moyens. Chaque case = une idée potentielle."
structurée,Six Chapeaux de Bono,Explorer le sujet sous 6 angles différents (faits émotions risques créativité organisation optimisme).,40,moyen,1,"On met chaque chapeau 2 minutes : 🤍 Faits, 🔴 Émotions, ⚫ Risques, 🟢 Créativité, 🔵 Organisation, 🟡 Optimisme."
